EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
143462884,SIS / Crayfd 4th May,A5 380m,04-05-2018 12:21,16889997,1. Kelva Matty,0,4.4,1,1,1,1001,1,1001,0,0,0
143462894,SIS / Crayfd 4th May,S3 540m,04-05-2018 13:37,17229553,2. Deecees Oscar,0,7.680730785,1,1,1,1001,1,1001,0,0,0
143462870,SIS / Crayfd 4th May,A9 380m,04-05-2018 10:36,18318954,1. Out Of Hawaii,0,6.185863658,1,5.20941703763166216643557371865041718359,1,1001,1,1001,3288.72,0,0
143462870,SIS / Crayfd 4th May,A9 380m,04-05-2018 10:36,11914218,2. Lizzies Horror,0,5.6,1,5.33663031166880893900250709495144889726,1,1001,1,1001,1571.54,0,0
143462870,SIS / Crayfd 4th May,A9 380m,04-05-2018 10:36,12637613,3. Council Terrier,0,5.2,1,4.2345476706392199349945828819068255688,1,1001,1,1001,886.08,0,0
143462890,SIS / Crayfd 4th May,E3 714m,04-05-2018 13:07,13373827,4. Moyeedy Alice,0,32,1,1,1,1001,1,1001,0,0,0
143462914,TRP / Swin 4th May,A5 480m,04-05-2018 11:11,10844556,4. Townboy Kelly,0,31.920819538,1,22.797986629700845146000089433439162903,1,1001,1,1001,1789.04,0,0
143462872,SIS / Crayfd 4th May,S8 540m,04-05-2018 10:51,12132279,4. Manilla Dazl,0,6.2,1,5.43357509692001773886671530549475702044,1,1001,1,1001,1398.06,0,0
143462872,SIS / Crayfd 4th May,S8 540m,04-05-2018 10:51,14571388,5. Phat Lily,0,4.6,1,4.57576672733197167539558282403617665525,1,1001,1,1001,2516.54,0,0
143462888,SIS / Crayfd 4th May,A6 380m,04-05-2018 12:54,11227239,6. Zenas Nidge,0,9.267662612743953,1,1,1,1001,1,1001,0,0,0
143462882,SIS / Crayfd 4th May,S6 540m,04-05-2018 12:06,12638525,4. Anfield Mary,0,4.8,1,1,1,1001,1,1001,0,0,0
143462882,SIS / Crayfd 4th May,S6 540m,04-05-2018 12:06,17321640,3. Coolruss Evo,0,4.782760829789769,1,1,1,1001,1,1001,0,0,0
143462874,SIS / Crayfd 4th May,A8 380m,04-05-2018 11:06,14188753,4. Ballymoon Hope,0,12.873871844527311,1,9.66132675891131046766731107587375371983,1,1001,1,1001,920.74,0,0
143462886,SIS / Crayfd 4th May,S4 540m,04-05-2018 12:36,11950509,3. Olwinn Prince,0,3.708975405212932,1,1,1,1001,1,1001,0,0,0
143462926,TRP / Swin 4th May,A9 480m,04-05-2018 12:42,18181314,3. Izzys Ice,1,3.5,1,1,1,1001,1,1001,0,0,0
143463576,SIS / CPark 4th May,D2 265m,04-05-2018 18:37,16866752,6. Edenvale Velvet,0,6.049981135732962,1,1,1,1001,1,1001,0,0,0
143463588,SIS / CPark 4th May,A2 480m,04-05-2018 20:16,16801558,4. Shaneboy Elena,0,11.391518595,1,1,1,1001,1,1001,0,0,0
143463588,SIS / CPark 4th May,A2 480m,04-05-2018 20:16,13997064,1. Boozed Flash,0,5.8,1,1,1,1001,1,1001,0,0,0
143473133,TRP / Newc 4th May,A3 480m,04-05-2018 18:11,17449269,5. Ring Joy,0,40,1,1,1,1001,1,1001,0,0,0
143473165,RPGTV / Towc 4th May,OR 500m,04-05-2018 21:07,11001590,2. Bockos Alfie,1,2.56,1,1,1,1001,1,1001,0,0,0
143434467,AUS / Geel (AUS) 4th May,R11 400m Gr5,04-05-2018 13:28,16746871,5. Kiowa Kaema,0,87.89227181854842,1,1,1,1001,1,1001,0,0,0
143434467,AUS / Geel (AUS) 4th May,R11 400m Gr5,04-05-2018 13:28,17856959,4. Cloverlay,0,23.607663268642504,1,1,1,1001,1,1001,0,0,0
143435786,AUS / Dubb (AUS) 4th May,R5 318m M1/2/3,04-05-2018 11:24,8901102,4. Zena Cargo,0,74.51614142818376,1,34.3326937835763622409823484267075978511,1,1001,1,1001,52.12,0,0
143435786,AUS / Dubb (AUS) 4th May,R5 318m M1/2/3,04-05-2018 11:24,10459869,6. Baracca Keeping,1,7.958020356118794,1,7.06647527759324285849862389674480402392,1,1001,1,1001,421.48,0,0
143435786,AUS / Dubb (AUS) 4th May,R5 318m M1/2/3,04-05-2018 11:24,10687065,2. Ballerina Black,0,24.31510368585034,1,23.0107021499571278859284194480612277303,1,1001,1,1001,1889.34,0,0
143435818,AUS / Bend (AUS) 4th May,R10 425m Gr6,04-05-2018 09:19,18574237,7. Rocket Ruby,0,40,1,24.6433800460154779334867182597782890609,1,1001,1,1001,95.62,0,0
143435818,AUS / Bend (AUS) 4th May,R10 425m Gr6,04-05-2018 09:19,17772791,2. Schatzie Armo,1,10.5,1,6.79228904658188716363380875430337947025,1,1001,1,1001,569.32,0,0
143419013,AUS / Ipsw (AUS) 4th May,R1 431m Mdn,04-05-2018 06:44,17365486,6. Stop The Image,0,10.5,1,9.51984501209561687646069949567427938825,1,1001,1,1001,487.78,0,0
143419013,AUS / Ipsw (AUS) 4th May,R1 431m Mdn,04-05-2018 06:44,12704205,3. Blue Girl Blue,0,12.825887845,1,10.8699001650813615281817467180253124754,1,1001,1,1001,508.84,0,0
143419013,AUS / Ipsw (AUS) 4th May,R1 431m Mdn,04-05-2018 06:44,16099344,7. Master Bullet,1,12,1,8.26860256410256410256410256410256410256,1,1001,1,1001,468,0,0
143435833,AUS / AnPk (AUS) 4th May,R5 388m Rest,04-05-2018 04:44,17295904,2. Blue Wolf,1,7.2,1,6.86083504544346554305811888428457011526,1,1001,1,1001,574.34,0,0
143435833,AUS / AnPk (AUS) 4th May,R5 388m Rest,04-05-2018 04:44,17925675,5. Sketchy Del,0,17.52195810353617,1,15.331796249923654797532523056251145178,1,1001,1,1001,327.46,0,0
143419380,AUS / Heal (AUS) 4th May,R4 350m Vets,04-05-2018 03:05,9007888,4. Selynya Kev,0,5.8,1,4.90711121081262968986596377096068644496,1,1001,1,1001,356.62,0,0
143434324,AUS / Rich (AUS) 4th May,R8 535m Heat,04-05-2018 12:36,13083384,1. Infrared Ethics,0,14.5,1,1,1,1001,1,1001,0,0,0
143434330,AUS / Rich (AUS) 4th May,R10 535m Heat,04-05-2018 13:19,16532502,1. Dougie Kazam,0,80,1,1,1,1001,1,1001,0,0,0
143434404,AUS / Geel (AUS) 4th May,R6 460m Gr5,04-05-2018 11:49,15471890,4. Lylahs Way,0,26.572904828,1,23.6833433393369354946301114001734373958,1,1001,1,1001,299.82,0,0
143434377,AUS / Geel (AUS) 4th May,R4 400m Final,04-05-2018 11:08,17310817,6. Hot Jean,0,8.2,1,5.34062737248947477396645731244392297605,1,1001,1,1001,579.56,0,0
143434377,AUS / Geel (AUS) 4th May,R4 400m Final,04-05-2018 11:08,17439530,7. Champagne Luxe,1,4.257638484273338,1,3.42513815087195758458607816655952724978,1,1001,1,1001,3391.22,0,0
